project,file,size_kb,status
aleksandr-kuprin_short-fiction_various-translators,30-a-sentimental-romance.md,17.9,todo
aleksandr-kuprin_short-fiction_various-translators,31-the-army-ensign.md,86.3,todo
aleksandr-kuprin_short-fiction_various-translators,32-autumn-flowers.md,20.1,todo
aleksandr-kuprin_short-fiction_various-translators,33-emerald.md,34.9,todo
aleksandr-kuprin_short-fiction_various-translators,34-a-fairytale.md,4.2,todo
aleksandr-kuprin_short-fiction_various-translators,35-how-i-became-an-actor.md,61.5,todo
aleksandr-kuprin_short-fiction_various-translators,36-allez.md,11.1,todo
aleksandr-kuprin_short-fiction_various-translators,37-a-petersburg-case.md,26.5,todo
aleksandr-kuprin_short-fiction_various-translators,38-the-murderer.md,11.8,todo
aleksandr-kuprin_short-fiction_various-translators,39-measles.md,51.6,todo
aleksandr-kuprin_short-fiction_various-translators,40-the-jewess.md,41.4,todo
aleksandr-kuprin_short-fiction_various-translators,41-le-coq-d-or.md,7.2,todo
aleksandr-kuprin_short-fiction_various-translators,42-sulamith.md,118.4,todo
aleksandr-kuprin_short-fiction_various-translators,43-the-piebald-horses.md,12.3,todo
aleksandr-kuprin_short-fiction_various-translators,44-the-little-red-christmas-tree.md,10.3,todo
aleksandr-kuprin_short-fiction_various-translators,45-monte-carlo.md,14.6,todo
aleksandr-kuprin_short-fiction_various-translators,46-roach-hole.md,16.2,todo
aleksandr-kuprin_short-fiction_various-translators,47-the-disciple.md,29.1,todo
aleksandr-kuprin_short-fiction_various-translators,48-the-old-city-of-marseilles.md,12.8,todo
aleksandr-kuprin_short-fiction_various-translators,49-endnotes.md,2.3,todo
alexander-berkman_the-bolshevik-myth,01-preface.md,3.6,todo
alexander-berkman_the-bolshevik-myth,02-the-log-of-the-transport-buford.md,25.4,todo
alexander-berkman_the-bolshevik-myth,03-on-soviet-soil.md,5.8,todo
alexander-berkman_the-bolshevik-myth,04-in-petrograd.md,16.5,todo
alexander-berkman_the-bolshevik-myth,05-moscow.md,6.3,todo
alexander-berkman_the-bolshevik-myth,06-the-guest-house.md,7.1,todo
alexander-berkman_the-bolshevik-myth,07-chicherin-and-karakhan.md,8.8,todo
alexander-berkman_the-bolshevik-myth,08-the-market.md,9.4,todo
alexander-berkman_the-bolshevik-myth,09-in-the-moskkommune.md,6.9,todo
alexander-berkman_the-bolshevik-myth,10-the-club-on-the-tverskaya.md,11.1,todo
alexander-berkman_the-bolshevik-myth,11-a-visit-to-peter-kropotkin.md,7.2,todo
alexander-berkman_the-bolshevik-myth,12-bolshevik-activities.md,9.5,todo
alexander-berkman_the-bolshevik-myth,13-sights-and-views.md,10.7,todo
alexander-berkman_the-bolshevik-myth,14-lenin.md,7.2,todo
alexander-berkman_the-bolshevik-myth,15-on-the-latvian-border.md,36.4,todo
alexander-berkman_the-bolshevik-myth,16-back-in-petrograd.md,17.9,todo
alexander-berkman_the-bolshevik-myth,17-rest-homes-for-workers.md,6.1,todo
alexander-berkman_the-bolshevik-myth,18-the-first-of-may.md,5.9,todo
alexander-berkman_the-bolshevik-myth,19-the-british-labor-mission.md,15.0,todo
alexander-berkman_the-bolshevik-myth,20-the-spirit-of-fanaticism.md,15.7,todo
alexander-berkman_the-bolshevik-myth,21-other-people.md,9.7,todo
alexander-berkman_the-bolshevik-myth,22-en-route-to-the-ukraine.md,8.2,todo
alexander-berkman_the-bolshevik-myth,23-first-days-in-kharkov.md,18.4,todo
alexander-berkman_the-bolshevik-myth,24-in-soviet-institutions.md,13.0,todo
alexander-berkman_the-bolshevik-myth,25-yossif-the-emigrant.md,13.7,todo
alexander-berkman_the-bolshevik-myth,26-nestor-makhno.md,11.6,todo
alexander-berkman_the-bolshevik-myth,27-prison-and-concentration-camp.md,11.5,todo
alexander-berkman_the-bolshevik-myth,28-further-south.md,4.5,todo
alexander-berkman_the-bolshevik-myth,29-fastov-the-pogromed.md,19.0,todo
alexander-berkman_the-bolshevik-myth,30-kiev.md,11.2,todo
alexander-berkman_the-bolshevik-myth,31-in-various-walks.md,26.3,todo
alexander-berkman_the-bolshevik-myth,32-the-cheka.md,7.4,todo
alexander-berkman_the-bolshevik-myth,33-odessa-life-and-vision.md,26.5,todo
alexander-berkman_the-bolshevik-myth,34-dark-people.md,14.1,todo
alexander-berkman_the-bolshevik-myth,35-a-bolshevik-trial.md,6.9,todo
alexander-berkman_the-bolshevik-myth,36-returning-to-petrograd.md,14.5,todo
alexander-berkman_the-bolshevik-myth,37-in-the-far-north.md,7.0,todo
alexander-berkman_the-bolshevik-myth,38-early-days-of-1921.md,8.4,todo
alexander-berkman_the-bolshevik-myth,39-kronstadt.md,20.1,todo
alexander-berkman_the-bolshevik-myth,40-last-links-in-the-chain.md,24.1,todo
alexander-berkman_the-bolshevik-myth,41-the-lessons-of-the-bolshevik-myth.md,29.8,todo
alexander-berkman_the-bolshevik-myth,42-endnotes.md,3.6,todo
alexander-mackenzie_journals,01-introduction.md,3.8,todo
alexander-mackenzie_journals,02-preface.md,8.6,todo
alexander-mackenzie_journals,03-part-1-frozen-ocean-1789.md,0.0,todo
alexander-mackenzie_journals,04-1789-chapter-i.md,21.7,todo
alexander-mackenzie_journals,05-1789-chapter-ii.md,16.0,todo
alexander-mackenzie_journals,06-1789-chapter-iii.md,30.6,todo
alexander-mackenzie_journals,07-1789-chapter-iv.md,24.8,todo
alexander-mackenzie_journals,08-1789-chapter-v.md,24.0,todo
alexander-mackenzie_journals,09-1789-chapter-vi.md,23.8,todo
alexander-mackenzie_journals,10-1789-chapter-vii.md,41.7,todo
alexander-mackenzie_journals,11-part-2-pacific-ocean-1793.md,0.0,todo
alexander-mackenzie_journals,12-1793-chapter-i.md,21.3,todo
alexander-mackenzie_journals,13-1793-chapter-ii.md,27.3,todo
alexander-mackenzie_journals,14-1793-chapter-iii.md,34.2,todo
alexander-mackenzie_journals,15-1793-chapter-iv.md,24.0,todo
alexander-mackenzie_journals,16-1793-chapter-v.md,29.8,todo
alexander-mackenzie_journals,17-1793-chapter-vi.md,32.0,todo
alexander-mackenzie_journals,18-1793-chapter-vii.md,33.6,todo
alexander-mackenzie_journals,19-1793-chapter-viii.md,40.8,todo
alexander-mackenzie_journals,20-1793-chapter-ix.md,81.3,todo
alexander-mackenzie_journals,21-1793-chapter-x.md,19.5,todo
alexander-mackenzie_journals,22-1793-chapter-xi.md,27.8,todo
alexander-mackenzie_journals,23-1793-chapter-xii.md,32.3,todo
alexander-mackenzie_journals,24-1793-chapter-xiii.md,55.3,todo
alexander-mackenzie_journals,25-appendix.md,0.1,todo
alexander-mackenzie_journals,26-endnotes.md,6.1,todo
alexander-mackenzie_journals,27-list-of-illustrations.md,0.1,todo
alexandre-dumas_the-wolf-leader,a-village-wedding.md,16.9,done
alexandre-dumas_the-wolf-leader,agnelette.md,19.4,done
alexandre-dumas_the-wolf-leader,david-and-goliath.md,22.0,done
alexandre-dumas_the-wolf-leader,death-and-resurrection.md,12.3,done
alexandre-dumas_the-wolf-leader,hunting-down-the-werewolf.md,15.9,done
alexandre-dumas_the-wolf-leader,ma-tre-magloire.md,17.2,done
alexandre-dumas_the-wolf-leader,my-lady-s-lady.md,17.8,done
alexandre-dumas_the-wolf-leader,the-anniversary.md,14.1,done
alexandre-dumas_the-wolf-leader,the-baron-de-mont-gobert.md,15.4,done
alexandre-dumas_the-wolf-leader,the-bedevilled-hair.md,17.9,done
alexandre-dumas_the-wolf-leader,the-black-wolf.md,18.9,done
alexandre-dumas_the-wolf-leader,the-boy-at-the-mill.md,17.5,done
alexandre-dumas_the-wolf-leader,the-dead-and-the-living.md,15.0,done
alexandre-dumas_the-wolf-leader,the-genius-of-evil.md,27.0,done
alexandre-dumas_the-wolf-leader,the-grand-master-of-his-highness-wolf-hounds.md,18.4,done
alexandre-dumas_the-wolf-leader,the-lord-of-vauparfond.md,13.1,done
alexandre-dumas_the-wolf-leader,the-pact-with-satan.md,18.5,done
alexandre-dumas_the-wolf-leader,the-seigneur-jean-and-the-sabot-maker.md,23.6,done
alexandre-dumas_the-wolf-leader,the-wolf-leader.md,17.1,done
alexandre-dumas_the-wolf-leader,thibault-s-last-wish.md,11.7,done
alexandre-dumas_the-wolf-leader,thibault-s-wishes.md,14.8,done
alexandre-dumas_the-wolf-leader,true-to-tryst.md,19.7,done
alexandre-dumas_the-wolf-leader,where-it-is-demonstrated-that-a-woman-never-speaks-more-eloquently-than-when-she-holds-her-tongue.md,23.4,done
alexandre-dumas_the-wolf-leader,who-mocquet-was-and-how-this-tale-became-known-to-the-narrator.md,43.3,done
alexandre-dumas_the-wolf-leader,wolves-in-the-sheep-fold.md,28.9,done
algernon-blackwood_john-silence-stories,a-psychical-invasion.md,113.8,done
algernon-blackwood_john-silence-stories,a-victim-of-higher-space.md,43.2,done
algernon-blackwood_john-silence-stories,ancient-sorceries.md,104.3,done
algernon-blackwood_john-silence-stories,secret-worship.md,74.3,done
algernon-blackwood_john-silence-stories,the-camp-of-the-dog.md,153.3,done
algernon-blackwood_john-silence-stories,the-nemesis-of-fire.md,155.5,done
algis-budrys_short-fiction,01-riya-s-foundling.md,16.1,done
algis-budrys_short-fiction,02-blood-on-my-jets.md,93.1,done
algis-budrys_short-fiction,03-firegod.md,10.3,done
algis-budrys_short-fiction,04-desire-no-more.md,28.8,done
algis-budrys_short-fiction,05-citadel.md,52.0,done
algis-budrys_short-fiction,06-the-barbarians.md,53.6,done
algis-budrys_short-fiction,07-the-stoker-and-the-stars.md,22.9,done
algis-budrys_short-fiction,08-wall-of-crystal-eye-of-night.md,44.2,done
algis-budrys_short-fiction,09-the-rag-and-bone-men.md,15.6,done
algis-budrys_short-fiction,10-die-shadow.md,36.2,done
ambrose-bierce_can-such-things-be,01-the-death-of-halpin-frayser.md,8.0,done
ambrose-bierce_can-such-things-be,02-the-secret-of-macarger-s-gulch.md,15.4,done
ambrose-bierce_can-such-things-be,03-one-summer-night.md,3.4,done
ambrose-bierce_can-such-things-be,04-the-moonlit-road.md,5.4,done
ambrose-bierce_can-such-things-be,05-a-diagnosis-of-death.md,7.0,done
ambrose-bierce_can-such-things-be,06-moxon-s-master.md,20.4,done
ambrose-bierce_can-such-things-be,07-a-tough-tussle.md,17.0,done
ambrose-bierce_can-such-things-be,08-one-of-twins.md,14.0,done
ambrose-bierce_can-such-things-be,09-the-haunted-valley.md,12.2,done
ambrose-bierce_can-such-things-be,10-a-jug-of-syrup.md,15.0,done
ambrose-bierce_can-such-things-be,11-staley-fleming-s-hallucination.md,4.7,done
ambrose-bierce_can-such-things-be,12-a-resumed-identity.md,5.3,done
ambrose-bierce_can-such-things-be,13-a-baby-tramp.md,9.8,done
ambrose-bierce_can-such-things-be,14-the-night-doings-at-deadmans.md,17.2,done
ambrose-bierce_can-such-things-be,15-beyond-the-wall.md,18.3,done
ambrose-bierce_can-such-things-be,16-a-psychological-shipwreck.md,8.6,done
ambrose-bierce_can-such-things-be,17-the-middle-toe-of-the-right-foot.md,8.6,done
ambrose-bierce_can-such-things-be,18-john-mortonson-s-funeral.md,3.0,done
ambrose-bierce_can-such-things-be,19-the-realm-of-the-unreal.md,2.8,done
ambrose-bierce_can-such-things-be,20-john-bartines-watch.md,12.6,done
ambrose-bierce_can-such-things-be,21-the-damned-thing.md,5.2,done
ambrose-bierce_can-such-things-be,22-haita-the-shepherd.md,11.4,done
ambrose-bierce_can-such-things-be,23-an-inhabitant-of-carcosa.md,7.9,done
ambrose-bierce_can-such-things-be,24-the-stranger.md,10.6,done
ambrose-bierce_can-such-things-be,25-the-ways-of-ghosts.md,1.2,done
ambrose-bierce_can-such-things-be,26-present-at-a-hanging.md,3.9,done
ambrose-bierce_can-such-things-be,27-a-cold-greeting.md,3.5,done
ambrose-bierce_can-such-things-be,28-a-wireless-message.md,4.6,done
ambrose-bierce_can-such-things-be,29-an-arrest.md,3.2,done
ambrose-bierce_can-such-things-be,30-a-man-with-two-lives.md,5.0,done
ambrose-bierce_can-such-things-be,31-three-and-one-are-one.md,6.3,done
ambrose-bierce_can-such-things-be,32-a-baffled-ambuscade.md,4.5,done
ambrose-bierce_can-such-things-be,33-two-military-executions.md,4.8,done
ambrose-bierce_can-such-things-be,34-the-isle-of-pines.md,8.4,done
ambrose-bierce_can-such-things-be,35-a-fruitless-assignment.md,6.1,done
ambrose-bierce_can-such-things-be,36-a-vine-on-a-house.md,6.7,done
ambrose-bierce_can-such-things-be,37-at-old-man-eckerts.md,4.5,done
ambrose-bierce_can-such-things-be,38-the-spook-house.md,7.7,done
ambrose-bierce_can-such-things-be,39-the-other-lodgers.md,4.9,done
ambrose-bierce_can-such-things-be,40-the-thing-at-nolan.md,8.2,done
ambrose-bierce_can-such-things-be,41-that-of-granny-magone.md,3.5,done
ambrose-bierce_can-such-things-be,42-a-light-sleeper.md,2.6,done
ambrose-bierce_can-such-things-be,43-the-mystery-of-charles-farquharson.md,3.1,done
ambrose-bierce_can-such-things-be,44-dead-and-gone.md,2.6,done
ambrose-bierce_can-such-things-be,45-a-cold-night.md,2.8,done
ambrose-bierce_can-such-things-be,46-a-creature-of-habit.md,3.4,done
ambrose-bierce_can-such-things-be,47-the-difficulty-of-crossing-a-field.md,4.2,done
ambrose-bierce_can-such-things-be,48-an-unfinished-race.md,2.1,done
ambrose-bierce_can-such-things-be,49-charles-ashmores-trail.md,3.7,done
ambrose-bierce_can-such-things-be,50-science-to-the-front.md,3.1,done
ambrose-bierce_can-such-things-be,51-endnotes.md,0.3,done
ambrose-bierce_in-the-midst-of-life,00-preface-to-the-first-edition.md,0.3,todo
ambrose-bierce_in-the-midst-of-life,01-soldiers.md,0.0,todo
ambrose-bierce_in-the-midst-of-life,02-a-horseman-in-the-sky.md,13.5,todo
ambrose-bierce_in-the-midst-of-life,03-an-occurrence-at-owl-creek-bridge.md,20.9,todo
ambrose-bierce_in-the-midst-of-life,04-chickamauga.md,14.1,todo
ambrose-bierce_in-the-midst-of-life,05-a-son-of-the-gods.md,14.7,todo
ambrose-bierce_in-the-midst-of-life,06-one-of-the-missing.md,25.7,todo
ambrose-bierce_in-the-midst-of-life,07-killed-at-resaca.md,13.3,todo
ambrose-bierce_in-the-midst-of-life,08-the-affair-at-coulters-notch.md,18.7,todo
ambrose-bierce_in-the-midst-of-life,09-the-coup-de-grace.md,12.0,todo
ambrose-bierce_in-the-midst-of-life,10-parker-adderson-philosopher.md,13.7,todo
ambrose-bierce_in-the-midst-of-life,11-an-affair-of-outposts.md,20.4,todo
ambrose-bierce_in-the-midst-of-life,12-the-story-of-a-conscience.md,14.0,todo
ambrose-bierce_in-the-midst-of-life,13-one-kind-of-officer.md,20.0,todo
ambrose-bierce_in-the-midst-of-life,14-one-officer-one-man.md,13.0,todo
ambrose-bierce_in-the-midst-of-life,15-george-thurston.md,10.3,todo
ambrose-bierce_in-the-midst-of-life,16-the-mockingbird.md,13.2,todo
ambrose-bierce_in-the-midst-of-life,17-civilians.md,0.0,todo
ambrose-bierce_in-the-midst-of-life,18-the-man-out-of-the-nose.md,16.0,todo
ambrose-bierce_in-the-midst-of-life,19-an-adventure-at-brownville.md,21.2,todo
ambrose-bierce_in-the-midst-of-life,20-the-famous-gilson-bequest.md,16.8,todo
ambrose-bierce_in-the-midst-of-life,21-the-applicant.md,10.5,todo
ambrose-bierce_in-the-midst-of-life,22-a-watcher-by-the-dead.md,22.9,todo
ambrose-bierce_in-the-midst-of-life,23-the-man-and-the-snake.md,14.3,todo
ambrose-bierce_in-the-midst-of-life,24-a-holy-terror.md,30.2,todo
ambrose-bierce_in-the-midst-of-life,25-the-suitable-surroundings.md,15.1,todo
ambrose-bierce_in-the-midst-of-life,26-the-boarded-window.md,10.0,todo
ambrose-bierce_in-the-midst-of-life,27-a-lady-from-redhorse.md,12.8,todo
ambrose-bierce_in-the-midst-of-life,28-the-eyes-of-the-panther.md,20.4,todo
ambrose-bierce_poetry,001-shapes-of-clay.md,0.0,todo
